Name, Price
Leite UHT Integral Shefa Caixa 1l,R$3.99
Leite Condensado Italac 395G,R$4.99
Leite Longa Vida Italac 1L Integral,R$3.89
Molho de Tomate Tradicional Fugini 300G,R$1.45
Creme de Leite Italac 200G,R$2.74
Leite UHT Desnatado Shefa Caixa 1l,R$3.59
Creme de Leite Shefa 200G,R$2.99
Leite UHT Desnatado Lider Caixa 1l,R$3.29
Óleo de Soja Soya Garrafa 900ml,R$8.49
Azeite de Oliva Extravirgem Argentino Cocinero 500ml,R$24.09
Leite UHT Integral Elegê Caixa 1l,R$3.49
Leite Longa Vida Zero Lactose Italac 1L Integral,R$4.89
Leite Condensado Semidesnatado Nestlé Moça Caixa 395g,R$6.99
Milho Verde Cozido ao Vapor Fugini 170G Lata,R$2.49
Feijão Carioca Tipo 1 Broto Legal Pacote 1kg,R$8.59
Creme de Leite UHT Leve Nestlé Caixa 200g,R$4.19
Óleo de Soja Tipo 1 Cocamar Garrafa 900ml,R$8.19
Molho de Tomate Tradicional Quero Sachê 340g,R$1.69
Óleo de Soja Concórdia 900ML,R$8.19
Açúcar Refinado União 1KG,R$4.59
Leite UHT Integral Shefa Garrafa 1l,R$4.49
Molho de Tomate Tradicional Heinz Sachê 340g,R$2.99
Azeite de Oliva Extra Virgem Clássico Português Gallo Vidro 500ml,R$27.90
Creme de Leite UHT Homogeneizado Piracanjuba Caixa 200g,R$3.79
