Name, Price
Alho roxo 100g,R$ 1.59
Banana Nanica kg,R$ 3.98
Laranja Pera Pct. 18kg,R$ 29.90
Limão Tahiti pct 1kg,R$ 2.29
Maçã Gala Nacional kg,R$ 5.98
Mamão Formosa kg,R$ 4.98
Maracujá Azedo kg,R$ 6.98
Tomate Italiano kg,R$ 6.89
Arroz AMÉLIA 5kg Tipo 1,R$ 13.98
Feijão GRÃO DE CAMPO Carioca 1kg,R$ 5.98
Farinha de Trigo DONA BENTA 1kg,R$ 3.79
Açúcar Refinado ALTO ALEGRE 1kg,R$ 3.69
Sal LEBRE Refinado 1kg,R$ 1.29
Goma de Tapioca DA TERRINHA 500g,R$ 3.89
Tempero SAZON Sabores 60g,R$ 3.29
Sardinha ROBINSON CRUSOE 125g,R$ 3.29
Vinagre de Álcool FORTALEZA Trad. ou Colorido 750ml,R$ 1.19
Óleo de Soja SOYA 900ml,R$ 7.79
Cerveja IMPÉRIO 350ml,R$ 2.19
Vodka ASKOV 900ml Trad. ou Sabores,R$ 10.98
Refrigerante FANTA Laranja ou Uva 2 Litros,R$ 5.29
Suco de Uva AURORA Integral Tinto 15 Litro,R$ 11.98
Água Mineral BONAFONT Danone Sem gás 500ml,R$ 0.98
Linguiça AURORA Toscana 5kg,R$ 84.90
Bacon SUINCO Ped. kg,R$ 23.90
Presunto SEARA (peça ou pedaço) kg,R$ 24.90
Steak de frango SEARA Presunto e queijo 120g,R$ 3.29
Frango à Passarinho SEARA 1kg,R$ 11.98
FILE DE MERLUZA IGLU s/ pele congelado 400g,R$ 14.98
Sobremesa DANETTE Chocolate 720g,R$ 13.98
Queijo Mussarela BRASILAC kg,R$ 28.90
Queijo Mussarela MONTE CASTELO kg,R$ 28.90
Requeijão VIGOR Tradicional Cremoso 200g,R$ 4.98
Pão de Forma 500g ou Bisnaguinha 300g DE PANES,R$ 3.89
Cereal Matinal SUCRILHOS KELLOGG’S 1kg,R$ 21.90
Bebida Láctea TODDYNHO Choc. 200ml,Oferta especial!
Creme NUTELLA 140g,R$ 7.39
Chocolate STIKADINHO Morango c/32,R$ 12.90
Toalha de Papel SORELLA Econômica c/ 2 rolos,R$ 2.89
Copo Descartável COPOMAIS 180ml c/ 100un.,R$ 3.59
Filtro de Papel BRIGITTA Número 103 c/ 30 un.,R$ 2.29
Sabonete ALBANY 85g,R$ 0.98
Creme Dental COLGATE Tripla Ação 90g,R$ 2.79
Esponja lã de Aço BOMBRIL c/ 8 un.,R$ 1.69
Absorvente SEMPRE LIVRE Noturno Suave c/ Abas / c/ 32un.,R$ 21.98
Kit Shampoo Condicionador ELSEVE 375+170ml,R$ 17.98
Inseticida SBP Multi inseticida Leve+ Pague- 450ml,R$ 8.98
Álcool 70° PROAX 1 Litro,R$ 6.49
Detergente LIMPOL 500ml,Oferta especial!
Água Sanitária ALVEJAC 2 Litros,R$ 2.89
Desinfetante SANOL 2 Litros,R$ 4.59
Detergente em pó TIXAN Primavera 5kg,R$ 30.98
Amaciante BABY SOFT 5 Litros,R$ 14.59
Limpador CASA & PERFUME 1 Litro,R$ 5.98
Papel Higiênico DUETTO FD 12x30m LV+PG -,Oferta especial!
Papel Higiênico FOFINHO FS 30m c/ 8 rolos,R$ 4.89
Molho de Tomate FUGINI Trad. Sachê 300g,R$ 0.98
Queijo Ralado VIGOR Parmesão 50g,R$ 3.89
Bebida SKOL BEATS GT 269ml,R$ 5.98
Refrigerante COCA-COLA 350ml,R$ 2.29
Água de Coco QUADRADO Sabores 1 Litro,R$ 4.79
Detergente Líquido OMO Lavagem perf. Refil 900ml,R$ 8.69
